	air_18	animal_36	bitter leaf_226	bridge_408	broom_415	case (court) (n)_464	compound_628	crab_702	cup_746	day_838	dry season_984	egg_1027	elephant stalk_1035	eye_1071	fence_1214	fireside_1244	garden egg_1416	gun_1565	headpad_1680	hill_1742	horn (head)_1794	intestine_1836	leaf_1929	monkey_1973	mushroom_2099	name_2140	oil_2175	palm tree_2291	person_2423	pig_2450	pot_2599	pot_2596	potato_2618	seed_2863	snake_3065	star_3232	stone_3333	story_3408	termite_3484	termite_3475	toilet_3527	trap_3615	trap_3598	war_3706	water_3725	yam_3854	air_10	blood_277	broom_418	case (court) (n)_467	compound_626	day_837	day_829	dog_913	faeces_1093	fly (bird)_1300	forest_1318	fowl_1364	garden egg_1426	headpad_1672	heart_1698	house_1815	intestine_1834	mushroom_2090	name_2131	pepper_2385	pot_2590	smoke_3010	soap_3087	spider_3183	storm (wind)_3343	sun_3439	animal_26	banana_75	banana_71	bat_136	bird_210	book_296	cat_516	chair_558	compound_620	cricket_706	cutlass_783	day_824	elephant stalk_1031	faeces_1091	faeces_1087	feather_1177	fly (bird)_1298	garden egg_1415	grasshopper_1517	headpad_1670	mushroom_2092	palm nut_2269	palm nut_2255	pap_2343	pepper_2395	pig_2439	pig_2435	pineapple_2457	place_2494	potato_2607	rain_2661	rainbow_2671	root_2746	seed_2855	soap_3085	star_3219	storm (wind)_3341	sun_3440	termite_3480	trap_3601	trap_3605	bag_58	banana_70	blood_279	cap_451	cloth_612	cloth_603	cloth_616	cutlass_782	fireside_1232	fireside_1239	friend_1410	garden egg_1423	gizzard (fowl)_1445	knife_1900	oil_2158	pot_2583	rainbow_2670	wingless termite_3748	banana_74	bed_163	belly_196	bitter leaf_224	book_304	breast_351	cap_453	chief_583	compound_623	cutlass_786	dance_817	day_831	devil_860	drum_954	faeces_1090	farm_1145	fish_1281	forest_1321	friend_1405	friend_1399	garden egg_1422	garden egg_1418	grass_1488	hailstone_1576	hair_1615	house_1812	intestine_1831	knife_1883	mushroom_2107	name_2128	pepper_2384	person_2420	pig_2438	pot_2587	pot_2592	raffia bamboo_2625	rain_2664	sand_2833	sieve_2957	sky_2964	smoke_3007	song_3173	star_3226	story_3391	story_3417	tongue_3573	work (n)_3794	xylophone_3834	yam_3842	monkey_1971	cutlass_788	basket_109	belly_190	blood_272	chair_559	child_600	compound_621	corn_639	cricket_708	day_825	drum_926	dry season_974	dust_993	elephant stalk_1032	faeces_1088	feather_1174	fire_1219	hair_1613	hill_1747	hoe_1754	intestine_1829	jaw_1864	knife_1881	ladder_1905	leaf_1916	nose_2145	palm tree_2295	pap_2341	pig_2436	plantain_2534	raffia bamboo_2623	salt_2792	sieve_2950	smoke_3005	spider_3180	storm (wind)_3338	termite_3478	tooth_3590	trap_3602	yam_3840	broom_426	compound_630	cup_754	elephant stalk_1036	fish_1275	grasshopper_1523	hoe_1765	pot_2598	star_3216	storm (wind)_3350	bird_203	cap_449	elephant stalk_1028	zinc_3856	palm nut_2266
sun_3440	0.0	0.0	0.125	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.375	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.125	0.0	0.14285714285714285	0.0	0.1	0.1	0.0	0.125	0.125	0.14285714285714285	0.0	0.1	0.0	0.0	0.14285714285714285	0.0	0.3333333333333333	0.14285714285714285	0.14285714285714285	0.0	0.1	0.0	0.1111111111111111	0.1	0.1111111111111111	0.0	0.14285714285714285	0.125	0.125	0.0	0.14285714285714285	0.0	0.42857142857142855	0.14285714285714285	0.0	0.1	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.6	0.42857142857142855	0.6	0.6	0.6	0.6	0.3333333333333333	0.6	0.6	0.6	0.6	0.5	0.5	0.6	0.6	0.6	0.42857142857142855	0.6	0.6	0.6	0.42857142857142855	0.6	0.6	0.6	0.6	0.42857142857142855	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.3333333333333333	0.6	0.5	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
termite_3480	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.5	1.0	0.0	1.0	0.5714285714285714	0.375	1.0	0.125	0.125	0.0	0.8	0.375	0.8	1.0	0.0	0.125	0.3333333333333333	0.0	0.14285714285714285	0.8	0.5714285714285714	0.14285714285714285	0.25	0.375	0.0	1.0	0.0	0.0	0.125	0.8	0.0	0.3333333333333333	0.1111111111111111	0.3333333333333333	0.6	0.375	1.0	0.0	0.0	0.25	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
trap_3601	0.0	0.0	0.2222222222222222	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.2	0.0	0.0	0.08333333333333333	0.1	0.0	0.0	0.0	0.08333333333333333	0.08333333333333333	0.2222222222222222	0.0	0.0	0.1	0.09090909090909091	0.18181818181818182	0.0	0.375	0.25	0.42857142857142855	0.25	0.4444444444444444	0.4444444444444444	0.25	0.375	0.375	0.42857142857142855	0.375	0.625	0.375	0.25	0.42857142857142855	0.1	0.1111111111111111	0.42857142857142855	0.42857142857142855	0.375	0.4444444444444444	0.0	0.7142857142857143	0.4444444444444444	0.09090909090909091	0.25	0.42857142857142855	0.2222222222222222	0.5714285714285714	0.2222222222222222	0.42857142857142855	0.25	0.0	0.42857142857142855	0.42857142857142855	0.625	0.25	0.1111111111111111	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111
trap_3605	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.2857142857142857	0.3333333333333333	0.14285714285714285	0.3333333333333333	0.375	0.375	0.3333333333333333	0.0	0.2857142857142857	0.14285714285714285	0.2857142857142857	0.2222222222222222	0.2857142857142857	0.3333333333333333	0.14285714285714285	0.0	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.2857142857142857	0.375	0.14285714285714285	0.1111111111111111	0.375	0.0	0.3333333333333333	0.14285714285714285	0.125	0.125	0.2857142857142857	0.14285714285714285	0.3333333333333333	0.25	0.14285714285714285	0.14285714285714285	0.2222222222222222	0.3333333333333333	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.1111111111111111	0.0	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.0	0.0
bag_58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.14285714285714285	0.8	0.125	0.14285714285714285	0.3333333333333333	0.14285714285714285	0.125	0.25	0.25	0.1	0.1111111111111111	0.2857142857142857	0.1	0.2222222222222222	0.2857142857142857	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
banana_70	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.125	0.2857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.125	0.42857142857142855	0.1111111111111111	0.125	0.2857142857142857	0.2857142857142857	0.1111111111111111	0.5714285714285714	0.2222222222222222	0.2	0.1	0.25	0.09090909090909091	0.09090909090909091	0.25	0.2222222222222222	0.0	0.0	0.1	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.125	0.0	0.125	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.1	0.125	0.0	0.2857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
blood_279	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.2222222222222222	0.0	0.2857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.125	0.0	0.125	0.2857142857142857	0.14285714285714285	0.14285714285714285	0.0	0.0	0.25	0.42857142857142855	0.1	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.1	0.0	0.42857142857142855	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.6	0.5	0.0	0.0	0.0	0.14285714285714285	0.0	0.42857142857142855	0.0	0.0	0.0	0.125	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.375	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cap_451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.42857142857142855	0.125	0.0	0.1111111111111111	0.125	0.5	0.125	0.1111111111111111	0.375	0.2222222222222222	0.09090909090909091	0.1	0.25	0.09090909090909091	0.3333333333333333	0.42857142857142855	0.2222222222222222	0.09090909090909091	0.0	0.1	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.125	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cloth_612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.09090909090909091	0.1111111111111111	0.0	0.0	0.1111111111111111	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.125	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.1111111111111111	0.2857142857142857	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.1	0.2222222222222222	0.2	0.1	0.1111111111111111	0.0	0.0	0.0	0.1	0.09090909090909091	0.09090909090909091	0.2222222222222222	0.125	0.0	0.125	0.0	0.09090909090909091	0.125	0.125	0.2857142857142857	0.25	0.125	0.0	0.125	0.0	0.125	0.2222222222222222	0.125	0.0	0.0	0.1111111111111111	0.1111111111111111	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.2	0.125	0.125	0.1111111111111111	0.2857142857142857	0.125	0.125	0.125	0.0	0.125	0.0	0.125	0.0	0.0	0.125	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.1	0.125	0.25	0.09090909090909091	0.0	0.1111111111111111	0.125	0.1	0.125	0.0	0.0	0.0	0.0	0.0
cloth_603	0.0	0.0	0.0	0.0	0.0	0.0	0.2222222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.2222222222222222	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.125	0.14285714285714285	0.125	0.0	0.0	0.0	0.14285714285714285	0.2857142857142857	0.1111111111111111	0.1111111111111111	0.1	0.0	0.0	0.1	0.1	0.125	0.42857142857142855	0.0	0.0	0.25	0.0	0.2857142857142857	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.125	0.0	0.0	0.0	0.3333333333333333	0.0	0.25	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.2222222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.1111111111111111	0.14285714285714285	0.0	0.1	0.0	0.125	0.14285714285714285	0.1111111111111111	0.14285714285714285	0.0	0.0	0.0	0.14285714285714285	0.0
cloth_616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.2222222222222222	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.2857142857142857	0.14285714285714285	0.5	0.0	0.0	0.0	0.0	0.0	0.42857142857142855	0.1111111111111111	0.0	0.0	0.125	0.0	0.2222222222222222	0.2857142857142857	0.25	0.1	0.0	0.25	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.0	0.0	0.0	0.3333333333333333	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
